Sentencing.court,Aggravating.72,Mitigating.36,disorder,affray,GBH,intent,common,custody
12,under influence drugs/alcohol,,,,,,,immediate custody
12,,genuine remorse,,,,,,
12,,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
12,,,,,,,,
12,under influence drugs/alcohol,,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
12,,genuine remorse,,,,,,immediate custody
12,,genuine remorse,,,,,,immediate custody
12,,genuine remorse,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,under influence drugs/alcohol,,,,,,,immediate custody
12,under influence drugs/alcohol,,,,,,,immediate custody
12,,,,,,,,
12,,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,,,,,,,,immediate custody
12,,,,,,,,
12,,,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,,genuine remorse,,,,,,immediate custody
12,under influence drugs/alcohol,,,,,,,
12,,,,,,,,
12,,,,,,,,
12,under influence drugs/alcohol,genuine remorse,,,,,,
12,,genuine remorse,,,,,,
12,,,,,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,affray,,,,
12,under influence drugs/alcohol,genuine remorse,,affray,,,,
12,under influence drugs/alcohol,,,affray,,,,
12,under influence drugs/alcohol,genuine remorse,,affray,,,,
12,,,,affray,,,,
12,,,,affray,,,,immediate custody
12,,,,affray,,,,immediate custody
12,,,,affray,,,,
12,under influence drugs/alcohol,genuine remorse,,affray,,,,immediate custody
12,under influence drugs/alcohol,,,affray,,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,affray,,,,
12,,,,affray,,,,immediate custody
12,,,,affray,,,,
12,,,,,,,common assault,
12,,,,,,,common assault,
12,under influence drugs/alcohol,,,,,,common assault,immediate custody
12,,,,,,,common assault,
12,,genuine remorse,,,,,common assault,
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,,,,,,grievous bodily harm with intent,,immediate custody
12,,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,,,,,,grievous bodily harm with intent,,immediate custody
12,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
12,under influence drugs/alcohol,,,,grievous bodily harm,,,
12,,genuine remorse,,,grievous bodily harm,,,
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,,genuine remorse,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
