Sentencing.court,Step1HigherCulpA,Step1HigherCulpC,Step1HigherCulpD,Step1HigherCulpF,Step1HigherCulpG,Step1HigherCulpI,Step1HigherCulpJ,Step1HigherHarmA,Step1HigherHarmB,Step1HigherHarmC,Step1LowerCulpA,Step1LowerCulpB,Step1LowerCulpC,Step1LowerCulpD,Step1LowerCulpE,Step1LowerHarmA,Aggravating.3,Aggravating.5,Aggravating.9,Aggravating.19,Aggravating.25,Aggravating.26,Aggravating.28,Aggravating.37,Aggravating.44,Aggravating.45,Aggravating.54,Aggravating.55,Aggravating.70,Aggravating.72,Mitigating.3,Mitigating.6,Mitigating.16,Mitigating.20,Mitigating.22,Mitigating.24,Mitigating.25,Mitigating.29,Mitigating.33,Mitigating.36,Mitigating.39,pleafirst,disorder,affray,GBH,intent,common,custody
7,,,,,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
7,,,,,,,use of weapon,,,personally vulnerable,,,,,,less serious injury,,,,,,,,location,,ongoing effect,,,timing of the offence,,,,,,,,,no previous convictions,,,single blow,,,,grievous bodily harm,,,immediate custody
7,,,,,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,ongoing effect,,,,,,,,,,,,,,genuine remorse,,,,,grievous bodily harm,,,immediate custody
7,,,,,,,,,,,lack of premeditation,,,selfdefence,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,,,,,,,no previous convictions,,genuine remorse,,,,,grievous bodily harm,,,
7,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,single blow,,,,grievous bodily harm,,,immediate custody
7,,,,,,,use of weapon,,repeated assault,,,,,,,less serious injury,,,,,,,,,,,,,,,addressing addiction,,,,,,,,primary carer,,,early guilty plea,,,grievous bodily harm,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,early guilty plea,,affray,,,,
NA,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,early guilty plea,,affray,,,,
NA,,,,,,,,,,,lack of premeditation,,provocation,selfdefence,,,,,,,,,,,,,,,,,,,,isolated incident,,,,,,,,early guilty plea,,,,,,
NA,,,,premeditation,,,,,,personally vulnerable,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,premeditation,,,,,,personally vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,,,early guilty plea,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
NA,,,,,,vulnerable victim,,,,,,,,,,,,,,victim forced to leave home,,,,,,,presence of others,,,,,lack of maturity,,,lapse of time,,mental disability (general),,,genuine remorse,,,,,,,,immediate custody
NA,,,,premeditation,,,,,,personally vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,early guilty plea,,,,,,
NA,deliberate harm,,,,,,,,repeated assault,personally vulnerable,lack of premeditation,,,,,,,,,,,failure to comply with court orders,,location,,ongoing effect,,,timing of the offence,,addressing addiction,,,,,,,,,genuine remorse,,early guilty plea,,,,,,immediate custody
NA,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,,,,,,,,,
NA,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
NA,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,genuine remorse,single blow,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,,,,,,,immediate custody
NA,,,,,,,,serious injury,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
NA,,,,,,,,serious injury,,,lack of premeditation,,,,,,,against public worker,,,,,,location,,,,,timing of the offence,under influence drugs/alcohol,,,good character,,,,,no previous convictions,,genuine remorse,,,,,,,,
NA,,,,,,,,,,,lack of premeditation,,provocation,,,,,,,,,,,,,,presence of others,,,,,,,,,,,,,genuine remorse,,,,,grievous bodily harm,,,
NA,,intent more harm,,,,,use of weapon,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,ongoing effect,,,,,,lack of maturity,,,,,,no previous convictions,,,single blow,,,,grievous bodily harm,,,immediate custody
